Wind Speed (ms-1),Efficiency Benchmark (%),Efficiency Benchmark (decimal),,Month,Average Wind Speed (ms-1),Efficiency of wind turbine at approx that wind speed (decimal)
2.7,49.06,0.4906,,January,7.91,0.67
3.1,50.46,0.5046,,February,7.95,0.67
3.6,52.72,0.5272,,March,7.89,0.67
3.9,53.72,0.5372,,April,7.01,0.653
4.4,55.61,0.5561,,May,6.67,0.6258
4.8,56.83,0.5683,,June,6.26,0.60
5.3,58.4,0.584,,July,5.96,0.99
5.4,56.5,0.565,,August,5.98,0.60
5.6,59,0.59,,September,6.50,0.62
5.8,59.5,0.595,,October,6.93,0.633
6.4,61.71,0.6171,,November,6.94,0.635
6.7,62.58,0.6258,,December,7.11,0.656
6.9,63.3,0.633,,,,
7.2,65.6,0.656,,,,
7.5,66.26,0.6626,,,,
7.7,66.76,0.6676,,,,
8.2,67.5,0.675,,,,

